Generated by Fabric Compiler ( version 2022.1 <build 99559> ) at Fri Nov  8 20:59:15 2024
  CLK(cfg_clk), R(ms72xx_ctl.iic_dri_rx.N434)      : 5
  CLK(cfg_clk), R(ms72xx_ctl.iic_dri_tx.N434)      : 5
  CLK(ddr_ip_clk), RS(user_axi_m_arbitration.u_axi_full_m1.N264)           : 5
      CLK(ddr_ip_clk), R(user_axi_m_arbitration.u_axi_full_m1.N264)  : 4
      CLK(ddr_ip_clk), S(user_axi_m_arbitration.u_axi_full_m1.N264)  : 1
  CLK(ddr_ip_clk), RS(user_axi_m_arbitration.u_axi_full_m2.N264)           : 5
      CLK(ddr_ip_clk), R(user_axi_m_arbitration.u_axi_full_m2.N264)  : 4
      CLK(ddr_ip_clk), S(user_axi_m_arbitration.u_axi_full_m2.N264)  : 1
  CLK(ddr_ip_clk), RS(user_axi_m_arbitration.u_axi_full_m3.N264)           : 5
      CLK(ddr_ip_clk), R(user_axi_m_arbitration.u_axi_full_m3.N264)  : 4
      CLK(ddr_ip_clk), S(user_axi_m_arbitration.u_axi_full_m3.N264)  : 1
  CLK(ddr_ip_clk), RS(user_axi_m_arbitration.N343)       : 6
      CLK(ddr_ip_clk), R(user_axi_m_arbitration.N343)    : 5
      CLK(ddr_ip_clk), S(user_axi_m_arbitration.N343)    : 1
  CLK(nt_sys_clk), R(~nt_sys_rst_n)                : 6
  CLK(cfg_clk), RS(~ms72xx_ctl.init_over_rx)       : 7
      CLK(cfg_clk), R(~ms72xx_ctl.init_over_rx)    : 6
      CLK(cfg_clk), S(~ms72xx_ctl.init_over_rx)    : 1
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.u_axi_full_m0.N129)      : 8
  CLK(nt_pixclk_in), R(hdmi_loop_inst.image_relief_effect_inst.new_pix_val[9])   : 8
  CLK(nt_sys_clk), R(uart_rx1.N13)                 : 9
  CLK(pix_clk), R(hdmi_test1_inst.sync_vg.h_count[9:0]_or)     : 10
  CLK(pix_clk), R(hdmi_test1_inst.sync_vg.x_act[9:0]_or)       : 10
  CLK(pix_clk), R(hdmi_test1_inst.sync_vg.y_act[9:0]_or)       : 10
  CLK(nt_pixclk_in), R(hdmi_video_zoom.N828)       : 12
  CLK(nt_pixclk_in), R(user_sync_gen.h_count[11:0]_or)   : 12
  CLK(nt_pixclk_in), R(user_sync_gen.x_act[11:0]_or)     : 12
  CLK(nt_pixclk_in), R(user_sync_gen.y_act[11:0]_or)     : 12
  CLK(cfg_clk), R(~locked)                         : 14
  CLK(nt_pixclk_in), RS(hdmi_video_zoom.user_interpolation_ram0.wr_rst)          : 20
      CLK(nt_pixclk_in), R(hdmi_video_zoom.user_interpolation_ram0.wr_rst)       : 19
      CLK(nt_pixclk_in), S(hdmi_video_zoom.user_interpolation_ram0.wr_rst)       : 1
  CLK(cfg_clk), R(ms72xx_ctl.ms7210_ctl.N539)      : 22
  CLK(nt_pixclk_in), R(hdmi_video_zoom.user_interpolation_ram0.rd_rst)     : 26
  CLK(nt_pixclk_in), RS(~ddr_ip_rst_n_1)           : 26
      CLK(nt_pixclk_in), R(~ddr_ip_rst_n_1)        : 24
      CLK(nt_pixclk_in), S(~ddr_ip_rst_n_1)        : 2
  CLK(nt_pixclk_in), R(~nt_led_int)                : 27
  CLK(cfg_clk), RS(~ms72xx_ctl.rstn)               : 31
      CLK(cfg_clk), R(~ms72xx_ctl.rstn)            : 28
      CLK(cfg_clk), S(~ms72xx_ctl.rstn)            : 3
  CLK(nt_pixclk_in), R(user_axi_m_arbitration.N220)      : 34
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220)  : 36
  CLK(cfg_clk), S(~ms72xx_ctl.iic_dri_rx.trans_en), CE(ms72xx_ctl.iic_dri_rx.N72)      : 1
  CLK(cfg_clk), S(~ms72xx_ctl.iic_dri_tx.trans_en), CE(ms72xx_ctl.iic_dri_tx.N72)      : 1
  CLK(cfg_clk), R(~ms72xx_ctl.init_over_rx), CE(ms72xx_ctl.ms7210_ctl.state_5)   : 1
  CLK(cfg_clk), R(ms72xx_ctl.iic_dri_rx.N499), CE(ms72xx_ctl.iic_dri_rx.dsu)     : 3
  CLK(cfg_clk), R(ms72xx_ctl.iic_dri_tx.N499), CE(ms72xx_ctl.iic_dri_tx.dsu)     : 3
  CLK(nt_pixclk_in), R(~ddr_ip_rst_n_1), CE(ddr_init_done_1)   : 3
  CLK(nt_sys_clk), R(uart_rx1.N155), CE(uart_rx1.N39)    : 3
  CLK(cfg_clk), R(ms72xx_ctl.iic_dri_rx.start), CE(ms72xx_ctl.iic_dri_rx.N504)   : 4
  CLK(cfg_clk), R(ms72xx_ctl.iic_dri_tx.start), CE(ms72xx_ctl.iic_dri_tx.N504)   : 4
  CLK(ddr_ip_clk), RS(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.N740)          : 4
      CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.N740)       : 3
      CLK(ddr_ip_clk), S(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.N740)       : 1
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m0.r_rd_done)    : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m0.r_wr_done)    : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m1.r_rd_done)    : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m1.r_wr_done)    : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m2.r_rd_done)    : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m2.r_wr_done)    : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m3.r_rd_done)    : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m3.r_wr_done)    : 4
  CLK(nt_pixclk_in), RS(hdmi_video_zoom.user_interpolation_ram0.wr_rst), CE(hdmi_video_zoom.N930)        : 4
      CLK(nt_pixclk_in), R(hdmi_video_zoom.user_interpolation_ram0.wr_rst), CE(hdmi_video_zoom.N930)     : 3
      CLK(nt_pixclk_in), S(hdmi_video_zoom.user_interpolation_ram0.wr_rst), CE(hdmi_video_zoom.N930)     : 1
  CLK(cfg_clk), R(~ms72xx_ctl.init_over_rx), CE(ms72xx_ctl.ms7210_ctl.N537)      : 5
  CLK(ddr_ip_clk), RS(user_axi_m_arbitration.N343), CE(user_axi_m_arbitration.N821)          : 5
      CLK(ddr_ip_clk), R(user_axi_m_arbitration.N343), CE(user_axi_m_arbitration.N821)       : 4
      CLK(ddr_ip_clk), S(user_axi_m_arbitration.N343), CE(user_axi_m_arbitration.N821)       : 1
  CLK(cfg_clk), R(~ms72xx_ctl.init_over_rx), CE(ms72xx_ctl.ms7210_ctl.N580)      : 6
  CLK(cfg_clk), R(~ms72xx_ctl.iic_dri_rx.state_4), CE(ms72xx_ctl.iic_dri_rx.full_cycle)      : 8
  CLK(cfg_clk), R(~ms72xx_ctl.iic_dri_tx.state_4), CE(ms72xx_ctl.iic_dri_tx.full_cycle)      : 8
  CLK(cfg_clk), R(~ms72xx_ctl.rstn), CE(ms72xx_ctl.ms7200_ctl.N1914_inv)   : 8
  CLK(cfg_clk), R(~ms72xx_ctl.rstn), CE(ms72xx_ctl.ms7200_ctl.N2009_inv)   : 8
  CLK(cfg_clk), R(~ms72xx_ctl.rstn), CE(ms72xx_ctl.ms7200_ctl.N2031_inv)   : 8
  CLK(cfg_clk), R(~ms72xx_ctl.rstn), CE(ms72xx_ctl.ms7200_ctl.N2053_inv)   : 8
  CLK(cfg_clk), R(~ms72xx_ctl.rstn), CE(ms72xx_ctl.ms7200_ctl.N1845)       : 9
  CLK(cfg_clk), R(~ms72xx_ctl.rstn), CE(ms72xx_ctl.ms7200_ctl.N1895)       : 9
  CLK(nt_pixclk_in), R(hdmi_video_zoom.N897), CE(hdmi_video_zoom.interpolation_data_save)    : 10
  CLK(nt_pixclk_in), R(hdmi_video_zoom.user_interpolation_ram0.wr_rst), CE(hdmi_video_zoom.N1124)  : 10
  CLK(pix_clk), R(~nt_rstn_out), CE(hdmi_test1_inst.sync_vg.N79)     : 10
  CLK(nt_pixclk_in), R(hdmi_video_zoom.user_interpolation_ram0.rd_rst), CE(user_sync_gen.N112)     : 11
  CLK(nt_pixclk_in), R(hdmi_video_zoom.N767), CE(hdmi_video_zoom.N764)     : 12
  CLK(nt_pixclk_in), R(hdmi_video_zoom.N767), CE(hdmi_video_zoom.N781)     : 12
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m0.N369)   : 14
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m0.N477)   : 14
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m1.N369)   : 14
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m1.N477)   : 14
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m2.N369)   : 14
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m2.N477)   : 14
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m3.N369)   : 14
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.N220), CE(user_axi_m_arbitration.u_axi_full_m3.N477)   : 14
  CLK(cfg_clk), R(~ms72xx_ctl.init_over_rx), CE(ms72xx_ctl.ms7210_ctl.N591)      : 20
  CLK(cfg_clk), R(~ms72xx_ctl.rstn), CE(ms72xx_ctl.ms7200_ctl.N1955)       : 20
  CLK(nt_pixclk_in), R(hdmi_video_zoom.N828), CE(hdmi_video_zoom.N839)     : 24
  CLK(nt_pixclk_in), R(hdmi_video_zoom.N828), CE(hdmi_video_zoom.N855)     : 24
  CLK(nt_pixclk_in), R(hdmi_video_zoom.N828), CE(hdmi_video_zoom.N871)     : 24
  CLK(nt_pixclk_in), R(hdmi_video_zoom.N828), CE(hdmi_video_zoom.N887)     : 24
  CLK(nt_pixclk_in), R(~ddr_ip_rst_n_1), CE(r_b_out[7:0]_and)  : 24
  CLK(nt_pixclk_in), R(hdmi_video_zoom.N1365), CE(hdmi_video_zoom.N1362)   : 30
  CLK(nt_pixclk_in), R(hdmi_video_zoom.user_interpolation_ram0.wr_rst), CE(hdmi_video_zoom.N1008)  : 38
  CLK(nt_pixclk_in), R(hdmi_video_zoom.user_interpolation_ram0.wr_rst), CE(hdmi_video_zoom.N1036)  : 38
  CLK(nt_sys_clk), R(~nt_sys_rst_n), CE(fft_top_inst.o_axi4s_data_tvalid)  : 50


Number of DFF:CE Signals : 285
  I_ipsxb_ddr_top.u_ddrphy_top.calib_done(from GTP_DFF_C:Q)    : 1
  N4660(from GTP_LUT3:Z)                           : 1
  ms72xx_ctl.iic_dri_rx.N72(from GTP_LUT5:Z)       : 1
  ms72xx_ctl.iic_dri_tx.N72(from GTP_LUT5:Z)       : 1
  ms72xx_ctl.ms7210_ctl.state_5(from GTP_DFF_R:Q)  : 1
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_training_ctrl.N18(from GTP_LUT4:Z)   : 2
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.N201(from GTP_LUT5M:Z)     : 2
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.N252(from GTP_LUT5M:Z)     : 2
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.norm_cmd_l_act(from GTP_LUT3:Z)       : 2
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.mcdq_reg_fifo2.fifo_read(from GTP_LUT5:Z)     : 2
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_wdatapath.rd_en(from GTP_DFF_C:Q)  : 2
  ms72xx_ctl.iic_dri_rx.start(from GTP_LUT2:Z)     : 2
  ms72xx_ctl.iic_dri_tx.start(from GTP_LUT2:Z)     : 2
  udp_rec_top_inst.u_udp.u_udp_tx.N907(from GTP_LUT3:Z)  : 2
  udp_tx_top_revised_inst.u_udp.u_udp_tx.N907(from GTP_LUT3:Z)       : 2
  udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N933(from GTP_LUT3:Z)    : 2
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.ddrphy_init.N285(from GTP_LUT5M:Z)     : 3
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.rdcal.rdcal_state_2(from GTP_DFF_CE:Q)       : 3
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538(from GTP_LUT3:Z)     : 3
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538(from GTP_LUT3:Z)     : 3
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538(from GTP_LUT3:Z)     : 3
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538(from GTP_LUT3:Z)     : 3
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.wrlvl_ck_dly_done(from GTP_LUT4:Z)     : 3
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dfi.N1792(from GTP_LUT5:Z)   : 3
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dfi.N750(from GTP_LUT5:Z)    : 3
  ddr_init_done_1(from GTP_DFF:Q)                  : 3
  fft_top_inst.u_fft_wrapper.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.N404(from GTP_LUT4:Z)      : 3
  ms72xx_ctl.iic_dri_rx.dsu(from GTP_LUT5:Z)       : 3
  ms72xx_ctl.iic_dri_tx.dsu(from GTP_LUT5:Z)       : 3
  uart_rx1.N39(from GTP_LUT2:Z)                    : 3
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_dll_update_ctrl.N95(from GTP_LUT5M:Z)      : 4
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N466(from GTP_LUT5:Z)  : 4
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N466(from GTP_LUT2:Z)  : 4
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N466(from GTP_LUT2:Z)  : 4
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N466(from GTP_LUT2:Z)  : 4
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N418(from GTP_LUT5:Z)      : 4
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.tfaw_timing.TFAW_LOOP[0].mcdq_tfaw.N19(from GTP_LUT5:Z)       : 4
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.tfaw_timing.TFAW_LOOP[1].mcdq_tfaw.N19(from GTP_LUT5:Z)       : 4
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.tfaw_timing.TFAW_LOOP[2].mcdq_tfaw.N19(from GTP_LUT4:Z)       : 4
  fft_top_inst.u_fft_ctrl.N75(from GTP_LUT4:Z)     : 4
  hdmi_video_zoom.N930(from GTP_LUT5:Z)            : 4
  ms72xx_ctl.iic_dri_rx.N504(from GTP_LUT3:Z)      : 4
  ms72xx_ctl.iic_dri_rx.twr_en(from GTP_DFF:Q)     : 4
  ms72xx_ctl.iic_dri_tx.N504(from GTP_LUT3:Z)      : 4
  ms72xx_ctl.iic_dri_tx.twr_en(from GTP_DFF:Q)     : 4
  udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N648(from GTP_LUT5:Z)    : 4
  user_axi_m_arbitration.N740(from GTP_LUT5:Z)     : 4
  user_axi_m_arbitration.u_axi_full_m0.r_rd_done(from GTP_DFF:Q)     : 4
  user_axi_m_arbitration.u_axi_full_m0.r_wr_done(from GTP_DFF:Q)     : 4
  user_axi_m_arbitration.u_axi_full_m1.r_rd_done(from GTP_DFF:Q)     : 4
  user_axi_m_arbitration.u_axi_full_m1.r_wr_done(from GTP_DFF:Q)     : 4
  user_axi_m_arbitration.u_axi_full_m2.r_rd_done(from GTP_DFF:Q)     : 4
  user_axi_m_arbitration.u_axi_full_m2.r_wr_done(from GTP_DFF:Q)     : 4
  user_axi_m_arbitration.u_axi_full_m3.r_rd_done(from GTP_DFF:Q)     : 4
  user_axi_m_arbitration.u_axi_full_m3.r_wr_done(from GTP_DFF:Q)     : 4
  ~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.state_0(from GTP_INV:Z)   : 4
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N359(from GTP_LUT3:Z)  : 5
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N359(from GTP_LUT3:Z)  : 5
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N359(from GTP_LUT3:Z)  : 5
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N359(from GTP_LUT3:Z)  : 5
  ms72xx_ctl.ms7210_ctl.N537(from GTP_LUT5:Z)      : 5
  udp_rec_top_inst.u_udp.u_udp_rx.N521(from GTP_LUT5:Z)  : 5
  udp_rec_top_inst.u_udp.u_udp_tx.N1036(from GTP_LUT2:Z)       : 5
  udp_rec_top_inst.u_udp.u_udp_tx.N864(from GTP_LUT4:Z)  : 5
  udp_tx_top_revised_inst.u_udp.u_udp_tx.N1036(from GTP_LUT2:Z)      : 5
  udp_tx_top_revised_inst.u_udp.u_udp_tx.N864(from GTP_LUT5:Z)       : 5
  udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N579(from GTP_LUT5:Z)    : 5
  udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N1080(from GTP_LUT3:Z)   : 5
  udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N890(from GTP_LUT5:Z)    : 5
  user_axi_m_arbitration.N821(from GTP_LUT4:Z)     : 5
  ~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.A_ipsxb_distributed_fifo.u_ipsxb_distributed_fifo_distributed_fifo_v1_0.full(from GTP_INV:Z)     : 5
  ~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.B_ipsxb_distributed_fifo.u_ipsxb_distributed_fifo_distributed_fifo_v1_0.full(from GTP_INV:Z)     : 5
  ~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.fifo_empty_a(from GTP_INV:Z)   : 5
  ~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.fifo_empty_b(from GTP_INV:Z)   : 5
  ~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_wdatapath.ipsxb_distributed_fifo.u_ipsxb_distributed_fifo_distributed_fifo_v1_0.full(from GTP_INV:Z)      : 5
  ~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_wdatapath.ipsxb_distributed_fifo.u_ipsxb_distributed_fifo_distributed_fifo_v1_0.u_ipsxb_distributed_fifo_ctr.rempty(from GTP_INV:Z)     : 5
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N139(from GTP_LUT5:Z)     : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N327(from GTP_LUT2:Z)     : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N449(from GTP_LUT5:Z)  : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.gate_check(from GTP_DFF_C:Q)      : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N139(from GTP_LUT5:Z)     : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N327(from GTP_LUT2:Z)     : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N449(from GTP_LUT5:Z)  : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.gate_check(from GTP_DFF_C:Q)      : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N139(from GTP_LUT5:Z)     : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N327(from GTP_LUT2:Z)     : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N449(from GTP_LUT5:Z)  : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.gate_check(from GTP_DFF_C:Q)      : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N139(from GTP_LUT5:Z)     : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N327(from GTP_LUT2:Z)     : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N449(from GTP_LUT5:Z)  : 6
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.gate_check(from GTP_DFF_C:Q)      : 6
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N371(from GTP_LUT5:Z)      : 6
  fft_top_inst.u_fft_wrapper.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.N444(from GTP_LUT4:Z)      : 6
  ms72xx_ctl.ms7210_ctl.N580(from GTP_LUT5:Z)      : 6
  ~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_rdatapath.mcdq_prefetch_fifo.empty(from GTP_INV:Z)  : 6
  ~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_rdatapath.mcdq_prefetch_fifo.full(from GTP_INV:Z)   : 6
  I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N458(from GTP_LUT3:Z)      : 7
  fft_top_inst.u_fft_wrapper.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.N468(from GTP_LUT3:Z)      : 7
  fft_top_inst.u_fft_wrapper.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.bfcnt_en_c1(from GTP_DFF:Q)      : 7
  uart_cache[3][8:0]_and(from GTP_LUT5:Z)          : 7
  udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N15(from GTP_LUT3:Z)     : 7
  udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N926(from GTP_LUT5M:Z)   : 7
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_reset_ctrl.N240(from GTP_LUT3:Z)     : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.N1814(from GTP_LUT4:Z)     : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N136(from GTP_LUT4:Z)  : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N377(from GTP_LUT3:Z)  : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N386(from GTP_LUT4:Z)  : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N409(from GTP_LUT5:Z)  : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N439(from GTP_LUT5:Z)  : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.dqsi_rdel_cal.N607(from GTP_LUT5:Z)     : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.dqsi_rdel_cal.N610(from GTP_LUT5:Z)     : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N136(from GTP_LUT5:Z)  : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N377(from GTP_LUT3:Z)  : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N386(from GTP_LUT4:Z)  : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N439(from GTP_LUT5:Z)  : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.dqsi_rdel_cal.N607(from GTP_LUT5:Z)     : 8
  I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.dqsi_rdel_cal.N610(from GTP_LUT5:Z)     : 8
